Target,Semi-Major_Axis_[km],Inclination_[deg],Expected_Life_[years],Launch_Mass_[kg]
Communications,0.948010886,0.000503018,0.743589744,0.423946848
Communications,0.946329945,0.000402414,0.743589744,0.841391009
Communications,0.946436671,0.000201207,0.743589744,0.719394967
Communications,0.946436671,0.000201207,0.743589744,0.702431439
Communications,0.94640999,0.001710262,0.743589744,0.706672321
Communications,0.029296406,0.523138833,0.743589744,0.098812553
Communications,0.94640999,0.000905433,0.384615385,0.199180096
Communications,0.946436671,0.000301811,0.58974359,0.183630195
Communications,0.948144294,0.000503018,0.743589744,0.439779474
Communications,0.945382748,0.001207243,0.743589744,0.756149279
Communications,0.946396649,0.000503018,0.743589744,0.411224201
Communications,0.946596761,0.001006036,0.743589744,0.72363585
Communications,0.946396649,0.000603622,0.743589744,0.654368109
Communications,0.946463353,0.000100604,0.897435897,0.452219395
Communications,0.94642333,0.000603622,0.743589744,0.650127226
Communications,0.94640999,0.000201207,0.743589744,0.779332768
Communications,0.94640999,0.000100604,0.743589744,0.452219395
Communications,0.946396649,0.000402414,0.743589744,0.952643483
Communications,0.946450012,0.000201207,0.743589744,0.538874753
Communications,0.946623442,0.002012072,0.743589744,0.727876732
Communications,0.029296406,0.523138833,0.743589744,0.098812553
Communications,0.946396649,0.000100604,0.692307692,0.846621431
Communications,0.946450012,0.037525151,0.58974359,0.961690698
Communications,0.94642333,0.000301811,0.897435897,0.876166243
Communications,0.948624563,0.000301811,0.743589744,0.714305909
Communications,0.94642333,0.023541247,0.692307692,0.87192536
Communications,0.946396649,0.000503018,0.743589744,0.635990953
Communications,0.945689586,0.000804829,0.743589744,0.419705966
Communications,0.94642333,0.000402414,0.743589744,0.670624823
Communications,0.946369967,0.001307847,0.743589744,0.791489963
Communications,0.946450012,0.000100604,0.743589744,0.862171332
Communications,0.946436671,0.001307847,0.743589744,0.849024597
Communications,0.031510979,0.829979879,0.230769231,0.039440204
Communications,0.946436671,0.000603622,0.743589744,0.467910659
Communications,0.946383308,0.000201207,0.897435897,0.861323155
Communications,0.94658342,0.000603622,0.743589744,0.845773254
Communications,0.94640999,0.000603622,0.743589744,0.848035058
Communications,0.94640999,0.000603622,0.743589744,0.480491942
Communications,0.946490034,0.000301811,0.897435897,0.452219395
Communications,0.946436671,0.000905433,0.743589744,0.72109132
Communications,0.947303823,0.000201207,0.743589744,0.455753463
Communications,0.94640999,0.000503018,0.743589744,0.941051739
Communications,0.946516716,0.000603622,0.743589744,0.742013005
Communications,0.94642333,0.000603622,0.538461538,0.630760532
Communications,0.946450012,0.000704225,0.743589744,0.409810574
Communications,0.946503375,0.000704225,0.743589744,0.65549901
Communications,0.031457616,0.829979879,0.230769231,0.035199321
Communications,0.946463353,0.070422535,0.743589744,0.48812553
Communications,0.029296406,0.523038229,0.743589744,0.098812553
Communications,0.94640999,0.000301811,0.743589744,0.885496183
Communications,0.94640999,0.000402414,0.743589744,0.459287532
Communications,0.946436671,0.000201207,0.743589744,0.773678258
Communications,0.94640999,0.000100604,0.743589744,0.693242861
Communications,0.946436671,0.000201207,0.743589744,0.720808595
Communications,0.946490034,0.000301811,0.743589744,0.763782867
Communications,0.94575629,0,0.692307692,0.846621431
Communications,0.94642333,0.001307847,0.743589744,0.867825841
Communications,0.94642333,0.041348089,0.58974359,0.961690698
Communications,0.94642333,0,0.692307692,0.846621431
Communications,0.946396649,0.001911469,0.333333333,0.37446989
Communications,0.031457616,0.829879276,0.333333333,0.038026576
Communications,0.945489474,0.042253521,0.692307692,0.87192536
Communications,0.946436671,0.00110664,0.743589744,0.85538592
Communications,0.946463353,0.000804829,0.743589744,0.850862313
Communications,0.946436671,0.001006036,0.230769231,0.339129206
Communications,0.94640999,0.000201207,0.743589744,0.443454905
Communications,0.946436671,0.000603622,0.743589744,0.85793045
Communications,0.031430935,0.829979879,0.230769231,0.039440204
Communications,0.943581739,0.000804829,0.743589744,0.480491942
Communications,0.94642333,0.002313883,0.58974359,0.280039582
Communications,0.946543398,0.000503018,0.743589744,0.469889737
Communications,0.946316604,0.070321932,0.743589744,0.48812553
Communications,0.946396649,0.000804829,0.743589744,0.894684761
Communications,0.94640999,0.000503018,0.743589744,0.435255867
Communications,0.94642333,0.000100604,0.743589744,0.688153803
Communications,0.94658342,0.000603622,0.743589744,0.243850721
Communications,0.946503375,0.000804829,0.743589744,0.415182358
Communications,0.946516716,0.000503018,0.743589744,0.809018943
Communications,0.946369967,0.047887324,0.487179487,0.162143059
Communications,0.031484298,0.829376258,0.230769231,0.039440204
Communications,0.94642333,0.000704225,0.743589744,0.843370088
Communications,0.031457616,0.830181087,0.333333333,0.039440204
Communications,0.008338003,0.989939638,0.128205128,0.000706814
Communications,0.009738787,0.472837022,0.230769231,0.024173028
Communications,0.946436671,0.000704225,0.743589744,0.635990953
Communications,0.946463353,0.000704225,0.743589744,0.522900763
Communications,0.946436671,0.000503018,0.743589744,0.819762511
Communications,0.946436671,0.000503018,0.743589744,0.462114787
Communications,0.94642333,0.000100604,0.743589744,0.423946848
Communications,0.946369967,0.000301811,0.743589744,0.87913486
Communications,0.948517837,0.005331992,0.743589744,0.474554707
Communications,0.950292164,0.000201207,0.743589744,0.833898784
Communications,0.946436671,0.001810865,0.743589744,0.449533503
Communications,0.946556738,0.000301811,0.743589744,0.420554142
Communications,0.946436671,0.000905433,0.743589744,0.848035058
Communications,0.946610102,0.001006036,0.58974359,0.447130336
Communications,0.94642333,0.000301811,0.743589744,0.862878145
Communications,0.946663465,0.001006036,0.743589744,0.282584111
Communications,0.94642333,0.000100604,0.743589744,0.808453492
Communications,0.031671069,0.828973843,0.333333333,0.039440204
Communications,0.946383308,0,0.743589744,0.621854679
Communications,0.945022546,0,0.743589744,0.650127226
Communications,0.944635663,0,0.743589744,0.6642635
Communications,0.945369407,0.001006036,0.743589744,0.77735369
Communications,0.946623442,0,0.897435897,0.44939214
Communications,0.946610102,0,0.743589744,0.796296296
Communications,0.94642333,0,0.692307692,0.846621431
Communications,0.946610102,0.001006036,0.743589744,0.819762511
Communications,0.946623442,0.001006036,0.743589744,0.466355669
Communications,0.946116492,0,0.58974359,0.298134012
Communications,0.9462499,0,0.743589744,0.862171332
Communications,0.94640999,0.000301811,0.743589744,0.296720385
Communications,0.031644388,0.829979879,0.230769231,0.039440204
Communications,0.946610102,0.000100604,0.743589744,0.420695505
Communications,0.945729609,0.000704225,0.743589744,0.910234662
Communications,0.94640999,0.071629779,0.743589744,0.752615211
Communications,0.946383308,0.001207243,0.743589744,0.734944869
Communications,0.946676806,0.000301811,0.743589744,0.706672321
Communications,0.946623442,0.005030181,0.743589744,0.734944869
Communications,0.94658342,0.001006036,0.743589744,0.77735369
Communications,0.946623442,0.001006036,0.743589744,0.537037037
Communications,0.943741829,0.001006036,0.743589744,0.692536047
Communications,0.946436671,0.000100604,0.743589744,0.734944869
Communications,0.008564796,0.472837022,0.230769231,0.024173028
Communications,0.946610102,0.001006036,0.743589744,0.381538027
Communications,0.946396649,0.004627767,0.743589744,0.738196211
Communications,0.94640999,0.000804829,0.743589744,0.734944869
Communications,0.946490034,0.000503018,0.743589744,0.744981623
Communications,0.94640999,0.000804829,0.743589744,0.940486288
Communications,0.949251581,0.000201207,0.743589744,0.635990953
Communications,0.948557859,0.000301811,0.743589744,0.427480916
Communications,0.944649003,0.000100604,1,0.91164829
Communications,0.944115371,0,0.743589744,0.254311563
Communications,0.946436671,0.000201207,0.743589744,0.77735369
Communications,0.946490034,0.000704225,0.743589744,0.500282725
Communications,0.945182636,0.000804829,0.743589744,0.890443879
Communications,0.946610102,0,0.743589744,0.635990953
Communications,0.948130953,0.000402414,0.743589744,0.9328527
Communications,0.946596761,0.001006036,0.743589744,0.459287532
Communications,0.946610102,0,0.743589744,0.481057393
Communications,0.946623442,0,0.743589744,0.905286966
Communications,0.945983084,0,0.692307692,0.846621431
Communications,0.946343286,0.002012072,0.743589744,0.956036189
Communications,0.945382748,0,0.743589744,0.480491942
Communications,0.945689586,0,0.743589744,0.909245123
Communications,0.010325782,0.870221328,0.743589744,0.121430591
Communications,0.946436671,0,0.743589744,0.45504665
Communications,0.94640999,0,0.743589744,0.848035058
Communications,0.946450012,0,0.897435897,0.501696353
Communications,0.946636783,0,0.743589744,0.791489963
Communications,0.94642333,0,0.692307692,0.846621431
Communications,0.946463353,0,0.743589744,0.744981623
Communications,0.94640999,0,0.743589744,0.520073509
Communications,0.94642333,0,0.897435897,0.810573933
Communications,0.94642333,0,0.58974359,0.31509754
Communications,0.946396649,0,0.743589744,0.860192253
Communications,0.946623442,0,0.743589744,0.50876449
Communications,0.94640999,0,0.692307692,0.907124682
Communications,0.94640999,0,0.487179487,0.44317218
Communications,0.94640999,0.073943662,0.743589744,0.975261521
Communications,0.946396649,0,0.743589744,0.518518519
Communications,0.946436671,0,0.743589744,0.491376873
Communications,0.94508925,0,0.743589744,0.816935256
Communications,0.94640999,0,0.743589744,0.955612101
Communications,0.946570079,0,0.743589744,0.423946848
Communications,0.946356626,0,0.743589744,0.487842805
Communications,0.946436671,0.000402414,0.743589744,0.833898784
Communications,0.94642333,0.000201207,0.743589744,0.867825841
Communications,0.944702367,0.000201207,0.743589744,0.497455471
Communications,0.946383308,0.000201207,0.743589744,0.909951937
Communications,0.946596761,0,0.743589744,0.734944869
Communications,0.946596761,0,0.743589744,0.522900763
Communications,0.946009765,0.000402414,0.743589744,0.738478937
Communications,0.008097868,0.8722334,0.743589744,0.121430591
Communications,0.94642333,0,0.743589744,0.536330223
Communications,0.946383308,0,0.743589744,0.625106022
Communications,0.94642333,0,0.743589744,0.597823014
Communications,0.946436671,0,0.743589744,0.862171332
Communications,0.008031164,0.871227364,0.743589744,0.121430591
Communications,0.94642333,0,0.743589744,0.572377721
Communications,0.94642333,0,0.743589744,0.423946848
Communications,0.946396649,0,0.743589744,0.494628216
Communications,0.946383308,0,0.743589744,0.749081142
Communications,0.94640999,0.000503018,0.743589744,1
Communications,0.007991142,0.871227364,0.743589744,0.121430591
Communications,0.946596761,0,0.794871795,0.819762511
Communications,0.94640999,0.000402414,0.743589744,0.997879559
Communications,0.945449452,0.000201207,0.743589744,0.494628216
Communications,0.946610102,0,0.743589744,0.918716426
Communications,0.031510979,0.829979879,0.230769231,0.039440204
Communications,1,0.001006036,0.487179487,0.480491942
Communications,0.946596761,0.001006036,0.743589744,0.749081142
Communications,0.007057285,0.982897384,0.076923077,0.000424088
Communications,0.007097308,0.982897384,0.076923077,0.000141363
Communications,0.94642333,0.000100604,0.384615385,0.317924795
Communications,0.94640999,0,0.743589744,0.423946848
Communications,0.008084527,0.8722334,0.743589744,0.121430591
Communications,0.94642333,0.001006036,0.743589744,0.358354538
Communications,0.946383308,0.000100604,0.743589744,0.918009613
Communications,0.946450012,0.000301811,0.743589744,0.579445858
Communications,0.022999546,0.883299799,0.230769231,0.020737913
Communications,0.946369967,0.000603622,0.743589744,0.650127226
Communications,0.9462499,0,0.692307692,0.846621431
Communications,0.94658342,0.000100604,0.743589744,0.913768731
Communications,0.006243496,0.533199195,0.179487179,0.031947979
Communications,0.946396649,0.000301811,0.743589744,0.763217416
Communications,0.957589584,0.000201207,0.743589744,0.897512016
Communications,0.943848555,0,0.743589744,0.480491942
Communications,0.944488914,0,0.743589744,0.423946848
Communications,0.946383308,0,1,0.918716426
Communications,0.94640999,0,0.743589744,0.9328527
Communications,0.946383308,0.000603622,0.743589744,0.404721515
Communications,0.943555057,0.000804829,0.743589744,0.566299124
Communications,0.945742949,0.000704225,0.743589744,0.791489963
Communications,0.946503375,0.000804829,0.743589744,0.983177834
Communications,0.031644388,0.830080483,0.333333333,0.039440204
Communications,0.03168441,0.830080483,0.333333333,0.039440204
Communications,0.031697751,0.829979879,0.333333333,0.039440204
Communications,0.944115371,0,0.743589744,0.511309019
Communications,0.947290483,0.001207243,0.743589744,0.474413345
Communications,0.023626564,0.879275654,0.230769231,0.020780322
Communications,0.94642333,0.070120724,0.743589744,0.827820187
Communications,0.007057285,0.879275654,0.230769231,0.020780322
Communications,0.024066811,0.879275654,0.230769231,0.020780322
Communications,0.947717388,0.000100604,0.743589744,0.784421826
Communications,0.946329945,0.001006036,0.743589744,0.303788521
Communications,0.946610102,0.000100604,0.743589744,0.497455471
Communications,0.939459431,0.000100604,0.743589744,0.466072943
Communications,0.006243496,0.533199195,0.179487179,0.036612949
Communications,0.031497639,0.829979879,0.333333333,0.039440204
Communications,0.006376904,0.533199195,0.179487179,0.036612949
Communications,0.004989461,0.980885312,0.076923077,0.000141363
Communications,0.006376904,0.533199195,0.179487179,0.036612949
Communications,0.031510979,0.829979879,0.333333333,0.039440204
Communications,0.94642333,0.000804829,0.743589744,0.211902742
Earth Observation,0.024066811,0.879275654,0.230769231,0.020780322
Earth Observation,0.939752928,0.004627767,0.487179487,0.24950523
Earth Observation,0.013460871,0.992957746,0.230769231,0.170342098
Earth Observation,0.013247419,0.992957746,0.128205128,0.012722646
Earth Observation,0.017356386,1,0.128205128,0.211902742
Earth Observation,0.010205715,0.987927565,0.333333333,0.042267458
Earth Observation,0.009778809,0.987927565,0.128205128,0.015832627
Earth Observation,0.007310761,0.982796781,0.230769231,0.226039016
Earth Observation,0.014541477,0.201207243,0.230769231,0.141221374
Earth Observation,0.005269618,0.980482897,0.230769231,0.226039016
Earth Observation,0.010205715,0.987927565,0.230769231,0.141221374
Earth Observation,0.00497612,0.980885312,0.179487179,0.37446989
Earth Observation,0.946463353,0.022032193,0.128205128,0.196352841
Earth Observation,0.010325782,0.987927565,0.230769231,0.268447837
Earth Observation,0.009925558,0.987927565,0.179487179,0.138394119
Earth Observation,0.946450012,0.018108652,0.333333333,0.282584111
Earth Observation,0.005056165,0.980885312,0.230769231,0.056403732
Earth Observation,0.005002802,0.980885312,0.230769231,0.056403732
Earth Observation,0.010192374,0.987927565,0.487179487,0.101639808
Earth Observation,0.013474212,0.992957746,0.230769231,0.577325417
Earth Observation,0.008604819,0.986217304,0.230769231,0.124257846
Earth Observation,0.003028363,0.97917505,0.128205128,0.125671473
Earth Observation,0.009845513,0.990945674,0.230769231,0.136980492
Earth Observation,0.005229595,0.980885312,0.230769231,0.226039016
Earth Observation,0.005389685,0.980885312,0.230769231,0.226039016
Earth Observation,0.010325782,0.987927565,0.230769231,0.392847046
Earth Observation,0.012486993,0.990945674,0.230769231,0.057393271
Earth Observation,0.008711545,0.986619718,0.384615385,0.141221374
Earth Observation,0.013367486,0.993259557,0.102564103,0.01964942
Earth Observation,0.009818832,0.98722334,0.230769231,0.016115352
Earth Observation,0.004002241,0.977867203,0.128205128,0.833898784
Earth Observation,0.006083407,0.981891348,0.230769231,0.197766469
Earth Observation,0.007430828,0.983903421,0.230769231,0.042267458
Earth Observation,0.004242376,0.878269618,0.179487179,0.066016398
Earth Observation,0.010045626,0.987525151,0.333333333,0.324992932
Earth Observation,0.011659863,0.991247485,0.346153846,0.117189709
Earth Observation,0.00845807,0.984708249,0.333333333,0.299547639
Earth Observation,0.00780437,0.985814889,0.487179487,0.043681086
Earth Observation,0.008231276,0.985814889,0.333333333,0.026010744
Earth Observation,0.00896502,0.987927565,0.487179487,0.100791631
