Target,Semi-Major_Axis_[km],Inclination_[deg],Expected_Life_[years],Launch_Mass_[kg]
Earth Observation,0.010325782,0.987927565,0.076923077,0.06403732
Earth Observation,0.013554257,0.994064386,0.230769231,0.39256432
Earth Observation,0.007937778,0.985814889,0.58974359,0.3956743
Earth Observation,0.008338003,0.9861167,0.384615385,0.141221374
Earth Observation,0.946396649,0.000804829,0.384615385,0.494628216
Earth Observation,0.005096187,0.980684105,0.128205128,0.070540006
Earth Observation,0.011406388,0.991448692,0.128205128,0.279756856
Earth Observation,0.005189573,0.980885312,0.230769231,0.226039016
Earth Observation,0.005749887,0.980885312,0.179487179,0.138394119
Earth Observation,0.005269618,0.980885312,0.230769231,0.226039016
Earth Observation,0.012593719,0.990945674,0.333333333,0.15959853
Earth Observation,0.008911657,0.985915493,0.487179487,0.063047781
Earth Observation,0.946596761,0.031187123,0.58974359,0.282584111
Earth Observation,0.008684864,0.986016097,0.384615385,0.141221374
Earth Observation,0.945569519,0.004527163,0.487179487,0.254311563
Earth Observation,0.006056725,0.150905433,0.230769231,0.056403732
Earth Observation,0.946623442,0.006036217,0.384615385,0.650127226
Earth Observation,0.026601564,0.663983903,0.230769231,0.078032231
Earth Observation,0.013007284,0.99195171,0.333333333,0.324992932
Earth Observation,0.004135649,0.978672032,0.230769231,0.833898784
Earth Observation,0.010152352,0.986921529,0.333333333,0.324992932
Earth Observation,0.004749326,0.980885312,0.179487179,0.371642635
Earth Observation,0.005189573,0.980885312,0.230769231,0.102629347
Earth Observation,0.005109528,0.980985915,0.128205128,0.000282725
Earth Observation,0.011806612,0.989939638,0.384615385,0.141221374
Earth Observation,0.94642333,0.000301811,0.487179487,0.310856658
Earth Observation,0.010379146,0.987927565,0.487179487,0.060644614
Earth Observation,0.00979215,0.987927565,0.230769231,0.014418999
Earth Observation,0.009005043,0.987927565,0.230769231,0.016398077
Earth Observation,0.009752128,0.987927565,0.128205128,0.006078598
Earth Observation,0.010899437,0.986921529,0.230769231,0.052304213
Earth Observation,0.946610102,0,0.384615385,0.494628216
Earth Observation,0.94658342,0,1,0.733813967
Earth Observation,0.013527575,0.992957746,0.230769231,0.174441617
Earth Observation,0.010365805,0.986921529,0.128205128,0.087503534
Earth Observation,0.004949438,0.980885312,0.128205128,0.000424088
Earth Observation,0.004909416,0.980885312,0.230769231,0.100791631
Earth Observation,0.012340244,0.990945674,0.333333333,0.15959853
Earth Observation,0.004709304,0.977867203,0.230769231,0.226039016
Earth Observation,0.00066704,0.975050302,0.230769231,0.100508906
Earth Observation,0.004068945,0.975855131,0.128205128,0.000282725
Earth Observation,0.004068945,0.975855131,0.128205128,0.000282725
Earth Observation,0.010832733,0.988933602,0.205128205,0.0371784
Earth Observation,0.01077937,0.988933602,0.230769231,0.074074074
Earth Observation,0.013394167,0.992957746,0.333333333,0.115776081
Earth Observation,0.005202914,0.978873239,0.128205128,0.000424088
Earth Observation,0.013127351,0.99195171,0.384615385,0.324992932
Earth Observation,0.012993943,0.99195171,0.128205128,0.00621996
Earth Observation,0.013407508,0.992957746,0.333333333,0.324144755
Earth Observation,0.005949999,0.980885312,0.128205128,0.013288097
Earth Observation,0.012700446,0.992957746,0.230769231,0.310856658
Earth Observation,0.005576456,0.980885312,0.384615385,0.07902177
Earth Observation,0.004989461,0.980885312,0.230769231,0.100508906
Earth Observation,0.004896075,0.980885312,0.230769231,0.001413627
Earth Observation,0.004896075,0.978873239,0.128205128,0.080435397
Earth Observation,0.005843272,0.980885312,0.128205128,0.013288097
Earth Observation,0.004709304,0.977867203,0.230769231,0.226039016
Earth Observation,0.94642333,0,0.743589744,0.736499859
Earth Observation,0.008658182,0.985915493,0.384615385,0.11365564
Earth Observation,0.013154033,0.99195171,0.333333333,0.324992932
Earth Observation,0.009885536,0.985915493,0.384615385,0.11365564
Earth Observation,0.004776008,0.894366197,0.230769231,0.084676279
Earth Observation,0.008671523,0.985915493,0.384615385,0.150268589
Earth Observation,0.946436671,0.020925553,0.230769231,0.194939214
Earth Observation,0.004922757,0.978873239,0.230769231,0.226039016
Earth Observation,0.007884415,0.985915493,0.128205128,0.040147017
Earth Observation,0.007751007,0.985915493,0.333333333,0.169493921
Earth Observation,0,0.972837022,0.128205128,0.193101498
Earth Observation,0.007404146,0.983903421,0.333333333,0.060644614
Earth Observation,0.008378025,0.985915493,0.230769231,0.233107153
Earth Observation,0.017009525,0.998993964,0.128205128,0.211902742
Earth Observation,0.005349662,0.980885312,0.128205128,0.098812553
Earth Observation,0.007737666,0.983903421,0.025641026,0.007774951
Earth Observation,0.004602577,0.980885312,0.128205128,0.000424088
Earth Observation,0.007377465,0.984406439,0.230769231,0.254311563
Earth Observation,0.013647643,0.992957746,0.230769231,0.577184054
Earth Observation,0.004602577,0.980885312,0.128205128,0.000424088
Earth Observation,0.008858294,0.985915493,0.230769231,0.053576477
Earth Observation,0.00713733,0.982897384,0.128205128,0.000424088
Earth Observation,0.007083967,0.982897384,0.230769231,0.013994911
Earth Observation,0.946383308,0.000503018,0.487179487,0.495617755
Earth Observation,0.006043384,0.981891348,0.230769231,0.0599378
Earth Observation,0.006030043,0.981891348,0.230769231,0.0599378
Earth Observation,0.004776008,0.978873239,0.128205128,0.000424088
Earth Observation,0.004776008,0.978873239,0.128205128,0.000424088
Earth Observation,0.006950559,0.982897384,0.230769231,0.013994911
Earth Observation,0.005709864,0.980885312,0.128205128,0.013288097
Earth Observation,0.009045065,0.985915493,0.538461538,0.310856658
Earth Observation,0.008231276,0.984909457,0.230769231,0.077608142
Earth Observation,0.004922757,0.980885312,0.128205128,0.000424088
Earth Observation,0.007430828,0.982897384,0.333333333,0.202007351
Earth Observation,0.007417487,0.982897384,0.333333333,0.202007351
Earth Observation,0.007417487,0.982897384,0.333333333,0.202007351
Earth Observation,0.002521412,0.519114688,0.051282051,0
Earth Observation,0.010685984,0.241448692,0.230769231,0.039440204
Earth Observation,0.013287441,0.990945674,0.230769231,0.409810574
Earth Observation,0.011673204,0.990945674,0.230769231,0.37446989
Earth Observation,0.008017823,0.983903421,0.384615385,0.141221374
Earth Observation,0.005176232,0.980885312,0.230769231,0.229573085
Earth Observation,0.005109528,0.980885312,0.128205128,0.000424088
Earth Observation,0.00796446,0.984909457,0.384615385,0.141221374
Earth Observation,0.006817151,0.371227364,0,0.002968617
Earth Observation,0.008217935,0.984909457,0.128205128,0.005513147
Earth Observation,0.938031965,0.005633803,0.487179487,0.295872208
Earth Observation,0.004655941,0.979879276,0.230769231,0.226039016
Earth Observation,0.946436671,0.000402414,0.487179487,0.477523325
Earth Observation,0.004776008,0.977867203,0.384615385,0.141221374
Earth Observation,0.004776008,0.978873239,0.384615385,0.141221374
Earth Observation,0.004789349,0.980885312,0.384615385,0.141221374
Earth Observation,0.004762667,0.980885312,0.384615385,0.141221374
Earth Observation,0.007831052,0.983903421,0.230769231,0.431014984
Earth Observation,0.005843272,0.980885312,0.128205128,0.000424088
Earth Observation,0.005389685,0.980885312,0.128205128,0.000424088
Earth Observation,0.005509752,0.980885312,0.128205128,0.000424088
Earth Observation,0.006403586,0.982897384,0.128205128,0.000565451
Earth Observation,0.005483071,0.980885312,0.128205128,0.000424088
Earth Observation,0.946436671,0.019919517,0.384615385,0.141221374
Earth Observation,0.005429707,0.980885312,0.128205128,0.000424088
Earth Observation,0.026734972,0.664587525,0.230769231,0.16836302
Earth Observation,0.004655941,0.979879276,0.384615385,0.141221374
Earth Observation,0.007484191,0.981891348,0.076923077,0.016822166
Earth Observation,0.005202914,0.984909457,0.051282051,0.012864009
Earth Observation,0.009912218,0.987927565,0.128205128,0.112948827
Earth Observation,0.004882734,0.978873239,0.230769231,0.103053435
Earth Observation,0.003895515,0.935814889,0.128205128,0.214023183
Navigation,0.530150217,0.552313883,0.487179487,0.313259825
Navigation,0.530070173,0.533199195,0.487179487,0.313259825
Navigation,0.530110195,0.552313883,0.487179487,0.313259825
Navigation,0.533365351,0.55331992,0.487179487,0.313259825
Navigation,0.534219163,0.55331992,0.487179487,0.313259825
Navigation,0.530150217,0.55331992,0.487179487,0.313259825
Navigation,0.531871181,0.55331992,0.487179487,0.313259825
Navigation,0.531831159,0.552313883,0.487179487,0.313259825
Navigation,0.530083513,0.55331992,0.487179487,0.313259825
Navigation,0.530070173,0.551307847,0.487179487,0.313259825
Navigation,0.530056832,0.554124748,0.487179487,0.313259825
Navigation,0.530043491,0.552716298,0.487179487,0.291065875
Navigation,0.53284506,0.553521127,0.487179487,0.291065875
Navigation,0.502001121,0.651911469,0.333333333,0.209075488
Navigation,0.502001121,0.651911469,0.333333333,0.209075488
Navigation,0.530043491,0.551307847,0.487179487,0.313259825
Navigation,0.502067825,0.652917505,0.333333333,0.209075488
Navigation,0.501961098,0.652917505,0.333333333,0.209075488
Navigation,0.531364231,0.552917505,0.487179487,0.291065875
Navigation,0.50546973,0.650503018,0.333333333,0.209075488
Navigation,0.505363003,0.650603622,0.333333333,0.209075488
Navigation,0.529042931,0.554325956,0.487179487,0.313259825
Navigation,0.530136877,0.554527163,0.487179487,0.290924512
Navigation,0.505883295,0.652012072,0.333333333,0.19988691
Navigation,0.498452467,0.651710262,0.333333333,0.19988691
Navigation,0.502067825,0.651509054,0.333333333,0.19988691
Navigation,0.502054484,0.651609658,0.333333333,0.19988691
Navigation,0.502041143,0.651609658,0.333333333,0.19988691
Navigation,0.530710531,0.55331992,0.58974359,0.230279898
Navigation,0.946289922,0.554225352,0.384615385,0.593582132
Navigation,0.498959417,0.652112676,0.333333333,0.19988691
Navigation,0.94642333,0.014386318,0.384615385,0.848035058
Navigation,0.945903039,0.555633803,0.384615385,0.593582132
Navigation,0.502027802,0.651609658,0.487179487,0.132032796
Navigation,0.537420956,0.55362173,0.58974359,0.230279898
Navigation,0.946610102,0.555331992,0.384615385,0.593582132
Navigation,0.612583047,0.55,0.58974359,0.098812553
Navigation,0.612543024,0.550100604,0.58974359,0.098812553
Navigation,0.50314843,0.651911469,0.333333333,0.19988691
Navigation,0.503188452,0.651911469,0.333333333,0.19988691
Navigation,0.503215134,0.651710262,0.333333333,0.19988691
Navigation,0.94640999,0.554929577,0.384615385,0.593582132
Navigation,0.946450012,0.018812877,0.384615385,0.324992932
Navigation,0.565970277,0.554929577,0.384615385,0.310856658
Navigation,0.565970277,0.554325956,0.384615385,0.310856658
Navigation,0.565916913,0.55331992,0.384615385,0.537037037
Navigation,0.530083513,0.552816901,0.487179487,0.230279898
Navigation,0.611222284,0.556740443,0.58974359,0.098812553
Navigation,0.611182262,0.556338028,0.58974359,0.098812553
Navigation,0.946436671,0.018511066,0.384615385,0.537037037
Navigation,0.502001121,0.651609658,0.333333333,0.19988691
Navigation,0.530964007,0.554225352,0.487179487,0.230279898
Navigation,0.537567705,0.553118712,0.487179487,0.230279898
Navigation,0.530043491,0.553822938,0.487179487,0.230279898
Navigation,0.502001121,0.651609658,0.333333333,0.19988691
Navigation,0.537847861,0.552515091,0.487179487,0.230279898
Navigation,0.530096854,0.553018109,0.487179487,0.230279898
Navigation,0.502281278,0.65221328,0.487179487,0.132032796
Navigation,0.537407615,0.55331992,0.58974359,0.230279898
Navigation,0.619800422,0.55331992,0.58974359,0.102063896
Navigation,0.615064436,0.554325956,0.58974359,0.102063896
Navigation,0.959817498,0.552313883,0.384615385,0.593582132
Navigation,0.537287548,0.552313883,0.58974359,0.230279898
Navigation,0.566157048,0.55331992,0.384615385,0.112948827
Navigation,0.56618373,0.55331992,0.384615385,0.112948827
Navigation,0.611369033,0.57444668,0.58974359,0.102063896
Navigation,0.611382374,0.57444668,0.58974359,0.102063896
Navigation,0.946236559,0.55331992,0.384615385,0.593582132
Navigation,0.537380933,0.55331992,0.58974359,0.230279898
Navigation,0.620841004,0.552917505,0.58974359,0.102063896
Navigation,0.620187305,0.552816901,0.58974359,0.102063896
Navigation,0.530056832,0.55331992,0.58974359,0.230279898
Navigation,0.502001121,0.651911469,0.333333333,0.19988691
Navigation,0.946329945,0.553018109,0.384615385,0.593582132
Navigation,0.612623069,0.577464789,0.58974359,0.102063896
Navigation,0.61877318,0.577464789,0.58974359,0.102063896
Navigation,0.50182769,0.651911469,0.333333333,0.19988691
Navigation,0.946383308,0.018511066,0.384615385,0.537037037
Navigation,0.606512981,0.549295775,0.58974359,0.102063896
Navigation,0.604778676,0.549295775,0.58974359,0.102063896
Navigation,0.612836522,0.549295775,0.58974359,0.102063896
Navigation,0.612863203,0.549295775,0.58974359,0.102063896
Navigation,0.50198778,0.651911469,0.333333333,0.19988691
Navigation,0.565970277,0.55331992,0.384615385,0.112948827
Navigation,0.579778009,0.55331992,0.384615385,0.112948827
Navigation,0.609901545,0.572434608,0.58974359,0.100932994
Navigation,0.603004349,0.573541247,0.58974359,0.100932994
Navigation,0.602897623,0.572434608,0.58974359,0.100932994
Navigation,0.605952667,0.57444668,0.58974359,0.100932994
Navigation,0.565970277,0.55331992,0.384615385,0.112948827
Navigation,0.565970277,0.55331992,0.384615385,0.112948827
Navigation,0.565970277,0.55331992,0.384615385,0.112948827
Navigation,0.565970277,0.55331992,0.384615385,0.112948827
Navigation,0.565956936,0.55331992,0.384615385,0.112948827
Navigation,0.575015342,0.55331992,0.384615385,0.112948827
Navigation,0.502201233,0.651911469,0.333333333,0.19988691
Navigation,0.946343286,0.55331992,0.384615385,0.112948827
Navigation,0.611702553,0.56639839,0.58974359,0.100932994
Navigation,0.608434056,0.56639839,0.58974359,0.100932994
Navigation,0.604631927,0.56639839,0.58974359,0.100932994
Navigation,0.60616612,0.56639839,0.58974359,0.100932994
Navigation,0.565956936,0.55331992,0.384615385,0.112948827
Navigation,0.565956936,0.55331992,0.384615385,0.112948827
Navigation,0.565956936,0.55331992,0.384615385,0.112948827
Navigation,0.565970277,0.55331992,0.384615385,0.112948827
Navigation,0.574921956,0.55331992,0.384615385,0.112948827
Navigation,0.565956936,0.55331992,0.384615385,0.112948827
Navigation,0.575055364,0.55331992,0.384615385,0.112948827
Navigation,0.575002001,0.55331992,0.384615385,0.112948827
Navigation,0.946396649,0.030181087,0.384615385,0.112948827
Navigation,0.502347982,0.651911469,0.333333333,0.19988691
Navigation,0.574801889,0.55331992,0.384615385,0.112948827
Navigation,0.574908615,0.55331992,0.384615385,0.112948827
Navigation,0.530016809,0.552313883,0.743589744,0.324992932
Navigation,0.946223218,0.55331992,0.384615385,0.112948827
Navigation,0.94640999,0.018209256,0.384615385,0.112948827
Navigation,0.50198778,0.651911469,0.333333333,0.19988691
Navigation,0.946476694,0.553822938,0.384615385,0.112948827
Navigation,0.530430374,0.554325956,0.743589744,0.324992932
Navigation,0.566170389,0.55331992,0.384615385,0.112948827
Navigation,0.566157048,0.55331992,0.384615385,0.112948827
Navigation,0.946476694,0.585513078,0.384615385,0.593582132
Navigation,0.575055364,0.552313883,0.384615385,0.112948827
Navigation,0.574961979,0.552313883,0.384615385,0.112948827
Navigation,0.500560314,0.651911469,0.333333333,0.19988691
Navigation,0.564302676,0.553521127,0.384615385,0.112948827
Navigation,0.573747966,0.553521127,0.384615385,0.112948827
Navigation,0.502347982,0.651911469,0.333333333,0.19988691
Navigation,0.94642333,0.030985915,0.384615385,0.310856658
Navigation,0.94642333,0.031086519,0.384615385,0.112948827
Navigation,0.530070173,0.553923541,0.743589744,0.324992932
Navigation,0.501854372,0.651911469,0.333333333,0.19988691
Navigation,0.530070173,0.55331992,0.743589744,0.324992932
Navigation,0.530096854,0.55331992,0.743589744,0.324992932
Navigation,0.617238987,0.57444668,0.58974359,0.103477523
Navigation,0.619747058,0.573440644,0.58974359,0.103477523
Navigation,0.50198778,0.651911469,0.487179487,0.137545943
Navigation,0.50198778,0.651911469,0.333333333,0.19988691
Navigation,0.946356626,0.402414487,0.743589744,0.565309584
Navigation,0.946570079,0.272635815,0.58974359,0.201300537
Navigation,0.946450012,0.311569416,0.58974359,0.202290076
Navigation,0.946263241,0.049899396,0.58974359,0.201300537
Navigation,0.945889698,0.30221328,0.58974359,0.201300537
Navigation,0.946369967,0.282595573,0.58974359,0.201300537
Navigation,0.946436671,0.051207243,0.58974359,0.201300537
Navigation,0.946396649,0.050905433,0.58974359,0.201300537
Navigation,0.946596761,0,0.743589744,0.565309584
Navigation,0.946316604,0.407444668,0.743589744,0.565309584
Navigation,0.946436671,0.286720322,0.487179487,0.201300537
Navigation,0.946930281,0.342052314,0.743589744,0.579445858
